"id","product_code","product_name","subcategory_name","product_type","category_id","subcategory_id","is_featured","created_at","updated_at"
"1","businesscard_14pt_profit_maximizer","Business cards 14pt (Profit Maximizer)","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"2","businesscard_14pt_aq","Business Cards 14pt + AQ","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"3","businesscard_14pt_uv_high_gloss","Business Cards 14pt + UV (High Gloss)","Business Cards","NULL","1","1","1","2024-11-07 19:53:24","2024-11-07 19:53:24"
"4","businesscard_14pt_matte_satin_aq","Business cards 14pt + Matte Finish","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"5","businesscard_16pt_matte_silk_lamination","Business cards 18pt Matte / Silk Lamination","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"6","businesscard_16pt_gloss_lamination","Business cards 18pt Gloss Lamination","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"7","businesscard_14pt_writable _aq_c1s","Business cards 14pt Writable + AQ (C1S)","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"8","businesscard_14pt_writable_uv_c1s","Business cards 14pt Writable + UV (C1S)","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"9","businesscard_13pt_enviro_uncoated","Business cards 13pt Enviro Uncoated","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"10","businesscard_16pt_aq","Business cards 16pt + AQ","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"11","businesscard_16pt_uv","Business cards 16pt + UV","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"12","businesscard_16pt_matte_satin_aq","Business cards 16pt + Matte Finish","Business Cards","NULL","1","1","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"13","postcards14pt_aq","Postcards 14PT + AQ","Postcards","NULL","1","5","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
"14","postcards14pt_uv","Postcards 14PT + UV","Postcards","NULL","1","5","0","2024-11-07 19:53:24","2024-11-07 19:53:24"
